Run_5-4-2026_1,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
-- Center find UTS DATA --,,,,,,,,,,,,,,,,,,,,,,,,,,
point id,,c1,c2,c3,c4,c5,c6,c7,c8,c9,,,,,,,,,,,,,,,,
UTS-J,East,36,33.76,32.647,33.077,36.7,37.244,39.023,39.368,38.174,,,,,,,,,,,,,,,,
UTS-J,North,-2.989,-2.133,-0.12,2.188,3.677,3.628,2.093,-0.29,-2.23,,,,,,,,,,,,,,,,
UTS-J,Elevation,10.65,10.671,10.692,10.702,10.697,10.681,10.658,10.641,10.638,,,,,,,,,,,,,,,,
-- Center find Machine DATA --,,,,,,,,,,,,,,,,,,,,,,,,,,
Point J Prime,X,-3322.09,-2007.34,202.167,2344.96,3394.97,2847.24,962.992,-1427.05,-3064.62,,,,,,,,,,,,,,,,
Point J Prime,Y,4524.16,4523.52,4523.52,4524.12,4523.16,4523.52,4523.23,4523.2,4525.12,,,,,,,,,,,,,,,,
Point J Prime,Z,-795.071,-2763.87,-3408.62,-2482.73,-370.368,1887.44,3277.6,3103.37,1507.45,,,,,,,,,,,,,,,,
----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,----------,,,,,,,,,,,,,,,,
-- Test Run UTS DATA --,,,,,,,,,,,,,,,,,,,,,,,,,,
point id,,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11,w12,w13,w14,w15,w16,w17,w18,w19,w20,w21,w22,w23,w24,w25
Pin 7,X,3290.03,3838.67,2711.49,2745.06,2703.98,2675.76,2721.36,3782.49,3774.24,3661.38,3435.99,3237.78,3287.23,3691.37,2592.63,3006.12,2823.99,2701,2488.02,2202.01,2234.41,2110.52,2044.88,1907.22,1702.86
Pin 7,Y,3407.63,2251.84,3969.59,4168.76,3948.63,3947.66,4199.8,2279.68,2706.28,2837.89,3002.79,3355.8,3423.96,2268.95,3939.89,2140.07,3141.81,3502.82,3714.65,4050.54,1843.47,3014.01,3497.88,3605.75,4025.54
Pin 7,Z,218.508,220.375,219.642,219.628,219.888,535.256,543.693,735.336,734.385,713.634,1142.01,1069.31,1087.07,1235.41,832.402,2312.51,2129.92,2006.14,1791.27,1502.63,2947.65,2690.1,2554.12,2268.26,1844.99
Pin 8,X,3267.85,3056.45,3156.81,3551.02,3105.74,3069.91,3566.03,3021.88,3452.48,3334.24,3194.75,3246.04,3461.94,3016.15,2952.79,2424.87,2803.12,2923.95,2730.75,2624.93,1835.22,2044.38,2214.91,1998.28,1942.87
Pin 8,Y,2116.92,1225.47,2757.94,3160.47,2721.89,2720.27,3236.53,1245.66,1457.9,1590.47,1737.7,2064.93,2147.45,1196.59,2707.32,1145.63,1851.25,2251.17,2470.18,2907.81,937.04,1732.13,2267.93,2331.92,2858.73
Pin 8,Z,218.414,220.374,219.46,219.782,219.778,605.858,695.775,598.501,679.966,654.335,1053.79,1072.52,1151.15,991.94,964.1,1729.66,2108.86,2230.15,2034.07,1927.88,2119.72,2553.11,2907.22,2456.88,2342
Pin 9,X,3316.25,2964.64,3281.33,3728.67,3223.45,3185.12,3747.9,2933.78,3447.6,3328.36,3201.76,3296.01,3539.92,2942.26,3060.22,2354.32,2836.36,2997.81,2807.68,2729.12,1783.35,2055.64,2264.95,2036.07,2004.81
Pin 9,Y,1896.95,1019.57,2570.09,3022.01,2529.6,2528.08,3107.58,1038.95,1232.41,1365.02,1512.6,1846.2,1937.24,985.095,2513.3,943.614,1631.01,2051.09,2272.6,2738.14,746.351,1508.06,2074.81,2124.04,2682.98
Pin 9,Z,218.49,219.566,219.856,219.226,218.867,626.959,727.331,582.671,675.012,653.266,1056.38,1090.8,1179.75,960.786,1003.54,1658.51,2141.79,2303.44,2110.74,2032.63,2012.56,2577.03,3011.59,2535.76,2468.89
Point G,X,3316.25,2964.64,3281.55,3728.51,3223.45,3185.12,3747.72,2934.43,3447.42,3328.17,3201.96,3296.5,3539.92,2942.26,3060.12,2354.51,2835.48,2997.5,2807.2,2729.12,1783.62,2054.94,2265.05,2036.07,2004.97
